Unnamed: 0,ingredient,amount,ingr_annotation,amount_annotation,norm_value,norm_unit
855,käse gerieben,100 g,"{""gewicht"": 100, ""einheit"": ""g""}","{""zutat"": ""K\u00e4se"", ""eigenschaft"": ""gerieben""}",100.0,g
856,sahne,200 ml,"{""volumen"": 200, ""einheit"": ""ml""}","{""zutat"": ""Sahne"", ""eigenschaft"": ""fl\u00fcssig""}",0.2,liter
857,eier,2,"{""anzahl"": 2, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Ei""}",2.0,stück
858,quinoa,1 tasse,"{""volumen"": 1, ""einheit"": ""tasse""}","{""zutat"": ""Quinoa""}",0.25,liter
859,gemüsebrühe,2 tassen,"{""volumen"": 2, ""einheit"": ""tassen""}","{""zutat"": ""Gem\u00fcsebr\u00fche""}",0.5,liter
860,paprika rot,0.5,"{""anzahl"": 0.5, ""einheit"": ""St\u00fcck"", ""zutat"": ""paprika rot""}","{""zutat"": ""Paprika"", ""eigenschaft"": ""rot""}",0.5,stück
861,kurkuma gewürz gemahlen,1 tl,"{""volumen"": 1, ""einheit"": ""tl""}","{""zutat"": ""Kurkuma"", ""eigenschaft"": ""gemahlen""}",0.005,liter
862,zwiebel,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Zwiebel""}",1.0,stück
863,knoblauch,1 zehe,"{""anzahl"": 1, ""einheit"": ""Zehe""}","{""zutat"": ""Zehe"", ""eigenschaft"": ""Knoblauch""}",1.0,stück
864,fenchelsamen frisch gemahlen,1 prise,"{""anzahl"": 1, ""einheit"": ""Prise"", ""zutat"": ""Fenchelsamen""}","{""zutat"": ""Fenchelsame"", ""eigenschaft"": ""gemahlen""}",0.0005,liter
865,koriander frisch gemahlen,1 prise,"{""anzahl"": 1, ""einheit"": ""Prise""}","{""zutat"": ""Koriander"", ""eigenschaft"": ""gemahlen""}",0.0005,liter
866,camembert doppelrahmstufe,250 g,"{""gewicht"": 250, ""einheit"": ""g""}","{""zutat"": ""Camembert"", ""eigenschaft"": ""doppelrahm""}",250.0,g
867,frischkäse doppelrahmstufe,150 g,"{""gewicht"": 150, ""einheit"": ""g""}","{""zutat"": ""Frischk\u00e4se"", ""eigenschaft"": ""Doppelrahmstufe""}",150.0,g
868,zwiebel,1 kleine,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""klein""}",1.0,stück
869,bier,1 schuss,"{""volumen"": 1, ""einheit"": ""Schuss""}","{""zutat"": ""Bier"", ""eigenschaft"": ""Schuss""}",0.02,liter
870,butter weich,50 g,"{""gewicht"": 50, ""einheit"": ""g""}","{""zutat"": ""Butter"", ""eigenschaft"": ""weich""}",50.0,g
871,schwarzwurzel frisch,400 g,"{""gewicht"": 400, ""einheit"": ""g""}","{""zutat"": ""Schwarzwurzel"", ""eigenschaft"": ""frisch""}",400.0,g
872,gemüsefond,800 mg,"{""gewicht"": 800, ""einheit"": ""mg""}","{""zutat"": ""Fond"", ""eigenschaft"": ""gem\u00fcse""}",0.8,g
873,sahne,200 ml,"{""volumen"": 200, ""einheit"": ""ml""}","{""zutat"": ""Sahne""}",0.2,liter
874,zwiebel frisch,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""frisch""}",1.0,stück
875,knoblauch frisch,1 zehe,"{""anzahl"": 1, ""einheit"": ""Zehe""}","{""zutat"": ""Zehe"", ""eigenschaft"": ""frisch""}",1.0,stück
876,zitrone frisch,0.5,"{""anzahl"": 0.5, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Zitrone"", ""eigenschaft"": ""frisch""}",0.5,stück
877,rote bete gekocht,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Rote Bete"", ""eigenschaft"": ""gekocht""}",1.0,stück
878,rucola,0.25 bündel,"{""anzahl"": 0.25, ""einheit"": ""b\u00fcndel""}","{""zutat"": ""Rucola"", ""eigenschaft"": ""b\u00fcndel""}",0.25,stück
879,kopfsalat frisch,100 g,"{""gewicht"": 100, ""einheit"": ""g""}","{""zutat"": ""Kopfsalat"", ""eigenschaft"": ""frisch""}",100.0,g
880,carmine   chicoree rot,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Chicoree"", ""eigenschaft"": ""rot""}",1.0,stück
881,champignons frisch,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Champignon"", ""eigenschaft"": ""frisch""}",1.0,stück
882,zwiebel,0.125 stk.,"{""anzahl"": 0.125, ""einheit"": ""stk.""}","{""zutat"": ""Zwiebel""}",0.125,stück
883,trauben grün kernlos,6 stk.,"{""anzahl"": 6, ""einheit"": ""stk.""}","{""zutat"": ""Traube"", ""eigenschaft"": ""kernlos""}",6.0,stück
884,kumquats frisch,4 stk.,"{""anzahl"": 4, ""einheit"": ""stk.""}","{""zutat"": ""Kumquat"", ""eigenschaft"": ""frisch""}",4.0,stück
885,karotte,0.5 stk.,"{""anzahl"": 0.5, ""einheit"": ""stk.""}","{""zutat"": ""Karotte""}",0.5,stück
886,radieschen frisch,3 stk.,"{""anzahl"": 3, ""einheit"": ""stk.""}","{""zutat"": ""Radieschen"", ""eigenschaft"": ""frisch""}",3.0,stück
887,schmand,1 ½ esslöffel,"{""volumen"": ""1 \u00bd"", ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Schmand""}",0.0225,liter
888,wasser,3 esslöffel,"{""volumen"": 3, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Essl\u00f6ffel"", ""eigenschaft"": ""Wasser""}",0.045,liter
889,alaska-seelachsfilet imbackteig,2 stück,"{""anzahl"": 2, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Seelachsfilet"", ""eigenschaft"": ""im Backteig""}",2.0,stück
890,butterschmalz,1 esslöffel,"{""volumen"": 1, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Butterschmalz""}",0.015,liter
891,küchentuch,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""K\u00fcchentuch"", ""eigenschaft"": ""St\u00fcck""}",1.0,stück
892,rote linsen,200 g,"{""gewicht"": 200, ""einheit"": ""g""}","{""zutat"": ""Linse"", ""eigenschaft"": ""rot""}",200.0,g
893,gemüsebrühe,650 ml,"{""volumen"": 650, ""einheit"": ""ml""}","{""zutat"": ""Gem\u00fcsebr\u00fche"", ""eigenschaft"": ""gemischt""}",0.65,liter
894,mohrrübe gegart,50 g,"{""gewicht"": 50, ""einheit"": ""g""}","{""zutat"": ""Mohrr\u00fcbe"", ""eigenschaft"": ""gegart""}",50.0,g
895,porree gegart,50 g,"{""gewicht"": 50, ""einheit"": ""g""}","{""zutat"": ""Porree"", ""eigenschaft"": ""gegart""}",50.0,g
896,sellerieknolle gegart,50 g,"{""gewicht"": 50, ""einheit"": ""g""}","{""zutat"": ""Sellerieknolle"", ""eigenschaft"": ""gegart""}",50.0,g
897,broccoli gegart,30 g,"{""gewicht"": 30, ""einheit"": ""g""}","{""zutat"": ""Brokkoli"", ""eigenschaft"": ""gegart""}",30.0,g
898,spitzpaprika rot,30 g,"{""gewicht"": 30, ""einheit"": ""g""}","{""zutat"": ""Spitzpaprika"", ""eigenschaft"": ""rot""}",30.0,g
899,kräuter der saison,1 el,"{""volumen"": ""1"", ""einheit"": ""el""}","{""zutat"": ""Kraut"", ""eigenschaft"": ""saisonal""}",0.015,liter
900,meersalz,1 prise,"{""anzahl"": 1, ""einheit"": ""Prise"", ""zutat"": ""Meersalz""}","{""zutat"": ""Prise"", ""eigenschaft"": ""Meer""}",0.0005,liter
901,cayenne,1 prise,"{""anzahl"": 1, ""einheit"": ""Prise""}","{""zutat"": ""Cayenne"", ""eigenschaft"": ""Prise""}",0.0005,liter
902,norderneyer seeluftschinken,6 stück,"{""anzahl"": 6, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Schinken"", ""eigenschaft"": ""seeluft""}",6.0,stück
903,radieschen,6 stück,"{""anzahl"": 6, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Radieschen""}",6.0,stück
904,speiseöl,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""Speise\u00f6l""}",0.015,liter
905,weinessig,1 tl,"{""volumen"": 1, ""einheit"": ""tl""}","{""zutat"": ""Essig"", ""eigenschaft"": ""wei\u00df""}",0.005,liter
906,milch,1 liter,"{""volumen"": 1, ""einheit"": ""liter""}","{""zutat"": ""Milch"", ""eigenschaft"": ""1 Liter""}",1.0,liter
907,milchreis,250 g,"{""gewicht"": 250, ""einheit"": ""g""}","{""zutat"": ""Milchreis""}",250.0,g
908,salz,1 prise,"{""anzahl"": 1, ""einheit"": ""Prise"", ""zutat"": ""salz""}","{""zutat"": ""Salz"", ""eigenschaft"": ""Prise""}",0.0005,liter
909,zucker,2 el,"{""volumen"": 2, ""einheit"": ""el""}","{""zutat"": ""Zucker""}",0.03,liter
